run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_eff,nu_eff,G_eff,D_rve,E_bending,N_membrane,B_coupling
ERG_L480_s1,0.48,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6763490401.779186,0.33546180935014447,0.024339176421909303,0.10790028180114819,0.12308058650721868,0.14741976292912798,6763490401.779186,0.33546180935014447,MISSING,34290357.01252255,7751545548.62073,-4.303677698371952,-39.12434292447161
ERG_L480_s2,0.48,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6721266520.700574,0.33676917681175467,0.015347601138429368,0.1088946780948988,0.13728059107143803,0.1526281922098674,6721266520.700574,0.33676917681175467,MISSING,33254230.040715996,7517322690.772389,27.01613340356289,245.60121409047838
ERG_L480_s3,0.48,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6776974020.154877,0.33643946425512833,0.022314287659293552,0.1081242182991834,0.12353731687279267,0.14585160453208623,6776974020.154877,0.33643946425512833,MISSING,33559648.68408722,7586364448.623594,-49.24096969897009,-447.64518150715827
ERG_L480_s4,0.48,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6793638184.857562,0.3373070211600614,0.017188660710944714,0.10869107163465519,0.1320117636870521,0.14920042439799683,6793638184.857562,0.3373070211600614,MISSING,33799983.456801146,7640693598.271383,31.578637197056654,287.07852152880713
ERG_L480_s5,0.48,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6748231628.62603,0.33519811297651925,0.014403626705126404,0.10899907411542664,0.13954102716244451,0.15394465386757092,6748231628.62603,0.33519811297651925,MISSING,33077262.786561664,7477318157.407784,26.458639621029796,240.5330887672608
ERG_L480_s6,0.48,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6578237749.700957,0.33648178805463963,0.01201641658689101,0.10926308045682254,0.1471809972243161,0.1591974138112071,6578237749.700957,0.33648178805463963,MISSING,33144458.3464444,7492508125.914262,10.96207287383024,99.65520848390338
ERG_L640_s1,0.64,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6786482313.577391,0.33671474876519825,0.012110536689378004,0.25896929547009967,0.13560071320177802,0.14771124989115625,6786482313.577391,0.33671474876519825,MISSING,105723559.84896147,7561938275.024519,-21.27133021682548,-193.3757302916945
ERG_L640_s2,0.64,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6675854636.333303,0.3373248979730902,0.017343001158070637,0.25759763630441873,0.13527511194570827,0.152618113103779,6675854636.333303,0.3373248979730902,MISSING,105132984.03784245,7519697001.302895,364.3001361504706,3311.8194374951713
ERG_L640_s3,0.64,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6882410439.444224,0.33685527314784247,0.013853389760788426,0.2585124169945479,0.1293235797966394,0.1431769695574278,6882410439.444224,0.33685527314784247,MISSING,108237023.10966997,7741715176.797149,2.682787510190377,24.388977497521275
ERG_L640_s4,0.64,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6740508237.865347,0.33464680880564845,0.018641968239309747,0.2572571198778744,0.1280853607932073,0.14672732903251703,6740508237.865347,0.33464680880564845,MISSING,105153803.46626678,7521186122.865685,8.448637223252149,76.80579335483608
ERG_L640_s5,0.64,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6774870644.697863,0.33753561186627756,0.013018556724655794,0.2587312634659718,0.13214822990032557,0.1451667866249816,6774870644.697863,0.33753561186627756,MISSING,105753708.903422,7564094703.44224,0.003480467858765768,0.031640617069318595
ERG_L640_s6,0.64,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6835627488.318164,0.3353735443944714,0.014828539174476685,0.258256787426646,0.12952033080844427,0.14434886998292107,6835627488.318164,0.3353735443944714,MISSING,108817117.62341659,7783206769.710773,0.12535374255667103,1.1395794839628486
ERG_L800_s1,0.80,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6906568752.501638,0.33643675083061,0.012564959749602367,0.5055667406082038,0.12809232353598854,0.14065728328559068,6906568752.501638,0.33643675083061,MISSING,261893157.6440833,7672651102.854002,36.18701876642069,328.97289965912563
ERG_L800_s2,0.80,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6809513484.198416,0.33662975010816415,0.014033616563607576,0.5048147883194332,0.1303178907983606,0.14435150736196795,6809513484.198416,0.33662975010816415,MISSING,261166374.4195452,7651358625.572612,-1.7657198107125485,-160.5199836618441
ERG_L800_s3,0.80,0.033,Composite,9.3922e+09,0.33,0.09,0.040,0.012,0.078,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.052,6750902361.468277,0.33633676731703654,0.01221319683353006,0.5057468432212328,0.13479442770983707,0.14700762454336713,6750902361.468277,0.33633676731703654,MISSING,259600691.60684302,7605489011.919229,-14.767305956913344,-134.24823669937754
