run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,G_xy,E_eff,nu_eff,G_eff
STEEP_z65_s3,0.50,0.033,Composite,9.4179e+09,0.33,0.0579,0.040,0.0148,0.0431,2.2e9,0.69,Gmsh,Lesicar,Z,Yes,0.0287,7083255856.383006,0.3342636351856983,0.015051852872943527,0.12311851839088206,0.1459800881708695,0.16103194104381302,2628079358.124845,7083255856.383006,0.3342636351856983,2628079358.124845
STEEP_z75_s1,0.50,0.033,Composite,9.4010e+09,0.33,0.0728,0.042,0.014,0.0588,2.2e9,0.67,Gmsh,Lesicar,Z,Yes,0.0391,6580999354.373822,0.3364651808321186,0.015153248034476263,0.12310584399569047,0.18173421287592717,0.19688746091040343,2447771600.0769405,6580999354.373822,0.3364651808321186,2447771600.0769405
STEEP_z75_s2,0.50,0.033,Composite,9.4010e+09,0.33,0.0728,0.042,0.014,0.0588,2.2e9,0.67,Gmsh,Lesicar,Z,Yes,0.0391,6702375049.963137,0.33734636441461185,0.027981862728109874,0.12150226715898627,0.1632987725778996,0.19128063530600947,2482448899.2665324,6702375049.963137,0.33734636441461185,2482448899.2665324
STEEP_z75_s3,0.50,0.033,Composite,9.4010e+09,0.33,0.0728,0.042,0.014,0.0588,2.2e9,0.67,Gmsh,Lesicar,Z,Yes,0.0391,6673574301.676244,0.33802340915399487,0.013850216273316951,0.12326872296583538,0.18401941884929052,0.19786963512260747,2426088041.609385,6673574301.676244,0.33802340915399487,2426088041.609385
STEEP_z85_s1,0.50,0.033,Composite,9.3841e+09,0.33,0.0979,0.044,0.0132,0.0847,2.2e9,0.64,Gmsh,Lesicar,Z,Yes,0.0565,5877976934.69802,0.3429122561152569,0.01380530085188525,0.12327433739351434,0.24673675471467504,0.2605420555665603,2111297013.3078513,5877976934.69802,0.3429122561152569,2111297013.3078513
STEEP_z85_s2,0.50,0.033,Composite,9.3841e+09,0.33,0.0979,0.044,0.0132,0.0847,2.2e9,0.64,Gmsh,Lesicar,Z,Yes,0.0565,5302145441.029576,0.34984575732698764,0.01910278856112768,0.12261215142985904,0.28140648938369495,0.30050927794482263,1955962564.1748114,5302145441.029576,0.34984575732698764,1955962564.1748114
STEEP_z85_s3,0.50,0.033,Composite,9.3841e+09,0.33,0.0979,0.044,0.0132,0.0847,2.2e9,0.64,Gmsh,Lesicar,Z,Yes,0.0565,5421756203.311114,0.3468900682687171,0.014599640133891922,0.12317504498326351,0.27680858799979996,0.2914082281336919,1995428948.1235268,5421756203.311114,0.3468900682687171,1995428948.1235268
STEEP_z95_s1,0.50,0.033,Composite,9.3672e+09,0.33,0.1495,0.045,0.0124,0.1371,2.2e9,0.61,Gmsh,Lesicar,Z,Yes,0.0914,3233687586.407818,0.38993713853043954,0.02256089428124297,0.12217988821484463,0.4567009758184265,0.4792618700996695,997426540.9883708,3233687586.407818,0.38993713853043954,997426540.9883708
STEEP_z95_s2,0.50,0.033,Composite,9.3672e+09,0.33,0.1495,0.045,0.0124,0.1371,2.2e9,0.61,Gmsh,Lesicar,Z,Yes,0.0914,2824644482.1448493,0.4017225253622033,0.019427350278288236,0.12257158121521397,0.4849821671804381,0.5044095174587263,1013702610.3037281,2824644482.1448493,0.4017225253622033,1013702610.3037281
STEEP_z95_s3,0.50,0.033,Composite,9.3672e+09,0.33,0.1495,0.045,0.0124,0.1371,2.2e9,0.61,Gmsh,Lesicar,Z,Yes,0.0914,3411040024.3466816,0.37422914957796627,0.03074563142423714,0.12115679607197036,0.43415019548508205,0.4648958269093192,1192279144.9740238,3411040024.3466816,0.37422914957796627,1192279144.9740238
